_id,name,price,description,discount,vendors,scrapedAt,__v,originalPrice,reviews,rating,availability,badge,image
674c24660c30ce92df2d4f8a,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",$249.99$318.00,,,[],2024-12-01 08:54:51.366,0,$318.00,Products highlighted as 'Overall Pick' are:Rated 4+ starsPurchased oftenReturned infrequently3006K+ bought in past monthTypical: More Buying Choices,4.2 out of 5 stars,,,
674c24660c30ce92df2d4f8c,"ASUS Chromebook CX1, 14"" FHD, Intel® Celeron N4500 Processor, 64GB Storage, 4GB RAM, ChromeOS, Transparent Silver, CX1400CKA-AS44F",$156.50$209.99,,,[],2024-12-01 08:54:51.368,0,$209.99,4778K+ bought in past monthList: Only 6 left in stock - order soon.More Buying Choices,4.1 out of 5 stars,,,
674c24660c30ce92df2d4f8e,"15.6"" FHD IPS Business Laptop, 32GB RAM 1TB SSD, AMD Ryzen 5(Beat i3-1215U, 4 Cores Up to 3.7GHz), 65W Type-C, 2 Years Warranty, Fingerprint, Backlit Keyboard, Wi-Fi 5, BT5.2, Numpad",$379.00$499.99,,,[],2024-12-01 08:54:51.374,0,$499.99,6500+ bought in past monthTypical price: Only 15 left in stock - order soon.,5.0 out of 5 stars,,,
674c24660c30ce92df2d4f90,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",$279.00$321.99,,,[],2024-12-01 08:54:51.375,0,$321.99,"39,30310K+ bought in past monthList: More Buying Choices",4.4 out of 5 stars,,,
674c24660c30ce92df2d4f92,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",$262.65$399.00,,,[],2024-12-01 08:54:51.378,0,$399.00,"2,0046K+ bought in past monthList:",4.3 out of 5 stars,,,
674c24660c30ce92df2d4f94,"HP Lastest 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U (64GB RAM | 2T SSD), Numeric Keypad, Webcam, Window 11 Pro, MS Office Pro 2024","$799.99$1,799.98",,,[],2024-12-01 08:54:51.379,0,"$1,799.98",14200+ bought in past monthTypical price:,4.9 out of 5 stars,,,
674c24660c30ce92df2d4f96,"ASUS 15.6” Vivobook Go Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",$219.99,,,[],2024-12-01 08:54:51.380,0,,"1,1666K+ bought in past monthMore Buying Choices",4.1 out of 5 stars,,,
674c24660c30ce92df2d4f98,"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Midnight","$844.00$1,099.00",,,[],2024-12-01 08:54:51.381,0,"$1,099.00",34410K+ bought in past monthList:,4.6 out of 5 stars,,,
674c24660c30ce92df2d4f9a,"Lenovo V15 G2 Laptop, 15.6"" FHD Screen, Intel Dual-core Processor, 16GB RAM, 1TB SSD, Webcam, HDMI, Wi-Fi, Windows 11 Home, Black",$331.55$469.00,,,[],2024-12-01 08:54:51.381,0,$469.00,512K+ bought in past monthList:,4.2 out of 5 stars,,,
674c24660c30ce92df2d4f9c,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",$129.99$229.99,,,[],2024-12-01 08:54:51.382,0,$229.99,7283K+ bought in past monthList: More Buying Choices,4.1 out of 5 stars,,,
